id_str	concept	No	Yes	total	percent_no	percent_yes	text
968364349021675521	war	5.0	2.0	7.0	0.7142857142857143	0.2857142857142857	 Illegals are the problem Russians are a diversion
1133046977992765446	war	4.0	4.0	8.0	0.5	0.5	"Yt folk gonna be all over this. What about caged immigrant kids dying in concentration camps? ""Concerns grow as third horse in nine days dies at prominent California racetrack""  "
1011297691454844930	commodity	8.0	0.0	8.0	1.0	0.0	  I have always wondered about your intelligence. Now I know you must not have gone to HS. Our ancestors as illegal aliens stole this land from native Americans. How does that make it right. Natives were murdered and shoved to little plots of land stupid!!
982715924372324353	water	7.0	0.0	7.0	1.0	0.0	ICE raids Tennessee slaughterhouse in biggest shutdown yet and Trump admin is not playing games  #MAGA #DeportALLIllegals
1090373330907983872	domain-agnostic	5.0	5.0	10.0	0.5	0.5	  Then why did this guy shutdown the Immigration Courts for 35 days? Thousands of deportation cases are being continued for years. Stop saying you wanna enforce immigration laws and then the Immigration Courts close. There is no crisis except for the one Don the Con man creates. 
1016964247321038848	war	5.0	1.0	6.0	0.8333333333333334	0.1666666666666666	ICE Agent Allegedly Taunts Detained Migrant After Taking Away Her Daughter: 'Happy Mother's Day' | pluralist 
1111385719803510784	pressure	3.0	5.0	8.0	0.375	0.625	  Thinking if we drop the UN which does nothing but charges WE could then have them shipped to Europe instead of allowing them in. Lol while fixing our immigration
1159076171792826368	animal	0.0	12.0	12.0	0.0	1.0	 When the 30 million illegals in the US say reconciliation is too late, the foxes have taken control of the chicken coup...
1140703609077850112	water	9.0	0.0	9.0	1.0	0.0	 One caveat: When you are excommunicated from the United States, you would be required to take 100 illegal immigrants with you.
1107038566985728000	domain-agnostic	3.0	6.0	9.0	0.3333333333333333	0.6666666666666666	    #POTUS has the constitutional power to protect us from foreign invaders.  By the time you have millions of illegal aliens voting in our presidential elections, to which some states have already begun giving out drivers license to, that’s when you have a bigger problems.
1202588828957126656	parasite	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	  No AuntCrabby She is very qualified in China she has concentration style shops for women! Exploits them Treats them like shit no benefits horrible working conditions! Maybe she thinks she can bring that concept to USA and Use undocumented People #StrangerThingsDay #FBRParty 
1066838669645017089	water	2.0	3.0	5.0	0.4	0.6	"Trump is ""controlling"" immigration so well that we have them all in prisons....his billionaire colleagues making money off prisons!  We are not ""saving money"" like Trump said, but now lots of money being poured into all these migrant camps!!!!"
1054860560762695681	domain-agnostic	3.0	4.0	7.0	0.4285714285714285	0.5714285714285714	CNN’s Bill Weir tries smacking Tomi Lahren over migrant caravan, proves he’s just ‘another white liberal racist’  via 
976118283337281537	domain-agnostic	7.0	1.0	8.0	0.875	0.125	 Also, if they get to blame Millenials for not having babies, then I get to blame Republicans for not opening immigration for workers from high birth-rate nations.
1009863114915971072	parasite	0.0	7.0	7.0	0.0	1.0	  Those look like illegals that have come into this country, actively draining tax payers dollars. I'm struggling to understand the point of this picture... did you think this was brilliant?
1080864575300329472	domain-agnostic	5.0	4.0	9.0	0.5555555555555556	0.4444444444444444	 That's not true. Having a mass of concrete is not a substitution for a coherent immigration and national security policy. Walls can be tunneled under, the problem is constantly thinking in terms of deterrent for non-existent crimes, while not addressing pull factors.
1069970055662837761	war	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	Yes, it happens fast. And they know they intimidate Americans. You would think the Dems would have some concern about the illegals, and legal immigrants, running blacks out of their own neighborhoods. But, Dems are vote whores.
