model1	model2	auc1	auc2	sig
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	0.7093502213984142	0.5037071362372567	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	0.7093502213984142	0.6578107300998868	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.7093502213984142	0.7466275357841623	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.7093502213984142	0.7307177427659356	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.7093502213984142	0.6819071156420554	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.7093502213984142	0.7857069302852435	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.7093502213984142	0.7251570384100504	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.7093502213984142	0.7356605910822778	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.7093502213984142	0.8441973020286273	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.7093502213984142	0.8059932035835651	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.7093502213984142	0.8117598599526311	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	0.5037071362372567	0.6578107300998868	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.5037071362372567	0.7466275357841623	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.5037071362372567	0.7307177427659356	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score	0.5037071362372567	0.6819071156420554	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.5037071362372567	0.7857069302852435	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.5037071362372567	0.7251570384100504	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.5037071362372567	0.7356605910822778	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.5037071362372567	0.8441973020286273	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.5037071362372567	0.8059932035835651	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.5037071362372567	0.8117598599526311	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.6578107300998868	0.7466275357841623	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.6578107300998868	0.7307177427659356	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.6578107300998868	0.6819071156420554	False
