model1	model2	auc1	auc2	sig
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	0.6731292110754359	0.5130562366656596	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	0.6731292110754359	0.650068267138799	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.6731292110754359	0.7475392214033287	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.6731292110754359	0.7033306869571123	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.6731292110754359	0.7255883503240054	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.6731292110754359	0.7125262588436976	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.6731292110754359	0.651108082220333	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.6731292110754359	0.6887580532975487	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.6731292110754359	0.7891716374043031	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.6731292110754359	0.7318202150356324	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.6731292110754359	0.7706165588209808	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score	0.5130562366656596	0.650068267138799	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.5130562366656596	0.7475392214033287	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.5130562366656596	0.7033306869571123	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score	0.5130562366656596	0.7255883503240054	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.5130562366656596	0.7125262588436976	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.5130562366656596	0.651108082220333	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.5130562366656596	0.6887580532975487	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.5130562366656596	0.7891716374043031	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.5130562366656596	0.7318202150356324	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.5130562366656596	0.7706165588209808	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score	0.650068267138799	0.7475392214033287	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.650068267138799	0.7033306869571123	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.650068267138799	0.7255883503240054	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.650068267138799	0.7125262588436976	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.650068267138799	0.651108082220333	False
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.650068267138799	0.6887580532975487	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.650068267138799	0.7891716374043031	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.650068267138799	0.7318202150356324	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.650068267138799	0.7706165588209808	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score	0.7475392214033287	0.7033306869571123	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score	0.7475392214033287	0.7255883503240054	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.7475392214033287	0.7125262588436976	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.7475392214033287	0.651108082220333	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.7475392214033287	0.6887580532975487	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.7475392214033287	0.7891716374043031	True
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.7475392214033287	0.7318202150356324	False
gpt-4-turbo-2024-04-09_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.7475392214033287	0.7706165588209808	False
gpt-4o-2024-08-06_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score	0.7033306869571123	0.7255883503240054	False
gpt-4o-2024-08-06_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.7033306869571123	0.7125262588436976	False
gpt-4o-2024-08-06_zeroshot_baseline_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.7033306869571123	0.651108082220333	True
gpt-4o-2024-08-06_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.7033306869571123	0.6887580532975487	False
gpt-4o-2024-08-06_zeroshot_baseline_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.7033306869571123	0.7891716374043031	True
gpt-4o-2024-08-06_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.7033306869571123	0.7318202150356324	True
gpt-4o-2024-08-06_zeroshot_baseline_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.7033306869571123	0.7706165588209808	True
gpt-4o-2024-08-06_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	0.7255883503240054	0.7125262588436976	False
gpt-4o-2024-08-06_zeroshot_description_score	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.7255883503240054	0.651108082220333	True
gpt-4o-2024-08-06_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.7255883503240054	0.6887580532975487	True
gpt-4o-2024-08-06_zeroshot_description_score	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.7255883503240054	0.7891716374043031	True
gpt-4o-2024-08-06_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.7255883503240054	0.7318202150356324	False
gpt-4o-2024-08-06_zeroshot_description_score	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.7255883503240054	0.7706165588209808	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	0.7125262588436976	0.651108082220333	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.7125262588436976	0.6887580532975487	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.7125262588436976	0.7891716374043031	True
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.7125262588436976	0.7318202150356324	False
Meta-Llama-3.1-70B-Instruct_zeroshot_baseline_score_sbert	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.7125262588436976	0.7706165588209808	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	0.651108082220333	0.6887580532975487	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.651108082220333	0.7891716374043031	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.651108082220333	0.7318202150356324	True
Meta-Llama-3.1-70B-Instruct_zeroshot_description_score_sbert	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.651108082220333	0.7706165588209808	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	0.6887580532975487	0.7891716374043031	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.6887580532975487	0.7318202150356324	True
gpt-4-turbo-2024-04-09_zeroshot_baseline_score_sbert	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.6887580532975487	0.7706165588209808	True
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	0.7891716374043031	0.7318202150356324	True
gpt-4-turbo-2024-04-09_zeroshot_description_score_sbert	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.7891716374043031	0.7706165588209808	True
gpt-4o-2024-08-06_zeroshot_baseline_score_sbert	gpt-4o-2024-08-06_zeroshot_description_score_sbert	0.7318202150356324	0.7706165588209808	True
